,index,date_local,time_local,sample_measurement,units_of_measure,sample_duration,sample_frequency,detection_limit
0,9124,2017-01-01,00:00,55.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
1,9123,2017-01-01,01:00,41.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
2,9122,2017-01-01,02:00,53.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
3,9121,2017-01-01,03:00,50.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
4,9120,2017-01-01,04:00,53.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
5,9119,2017-01-01,05:00,52.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
6,9118,2017-01-01,06:00,51.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
7,9117,2017-01-01,07:00,51.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
8,9116,2017-01-01,08:00,41.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
9,9115,2017-01-01,09:00,41.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
10,9114,2017-01-01,10:00,7.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
11,9113,2017-01-01,11:00,7.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
12,9112,2017-01-01,12:00,5.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
13,9111,2017-01-01,13:00,3.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
14,9110,2017-01-01,14:00,4.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
15,9109,2017-01-01,15:00,5.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
16,9108,2017-01-01,16:00,4.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
17,9107,2017-01-01,17:00,6.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
18,9106,2017-01-01,18:00,9.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
19,9105,2017-01-01,19:00,12.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
20,9104,2017-01-01,20:00,18.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
21,9103,2017-01-01,21:00,18.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
22,9102,2017-01-01,22:00,10.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
23,9101,2017-01-01,23:00,17.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
24,9100,2017-01-02,00:00,15.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
25,9099,2017-01-02,01:00,13.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
26,9098,2017-01-02,02:00,6.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
27,9097,2017-01-02,03:00,2.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
28,9096,2017-01-02,04:00,2.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
29,9095,2017-01-02,05:00,0.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
30,9094,2017-01-02,06:00,1.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
31,9093,2017-01-02,07:00,0.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
32,9092,2017-01-02,08:00,3.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
33,9091,2017-01-02,09:00,5.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
34,9090,2017-01-02,10:00,3.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
35,9089,2017-01-02,11:00,7.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
36,9088,2017-01-02,12:00,5.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
37,9087,2017-01-02,13:00,3.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
38,9086,2017-01-02,14:00,5.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
39,9085,2017-01-02,15:00,5.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
40,9084,2017-01-02,16:00,3.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
41,9083,2017-01-02,17:00,1.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
42,9082,2017-01-02,18:00,2.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
43,9081,2017-01-02,19:00,3.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
44,9080,2017-01-02,20:00,6.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
45,9079,2017-01-02,21:00,12.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
46,9078,2017-01-02,22:00,15.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
47,9077,2017-01-02,23:00,15.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
48,9076,2017-01-03,00:00,23.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
49,9075,2017-01-03,01:00,22.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
50,9074,2017-01-03,02:00,17.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
51,9073,2017-01-03,03:00,13.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
52,9072,2017-01-03,04:00,11.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
