Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,83556,-,-,-,34.05,-118.26,-8,98,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Surface Albedo,Wind Speed,Wind Direction,Relative Humidity,Temperature,Pressure,
1998,1,1,0,30,0,0,0,0,0,0,0,8,0.11900000000000001,1.6,85.60000000000001,73.18,14,980,N/A
1998,1,1,1,30,0,0,0,0,0,0,0,7,0.11900000000000001,1.7000000000000002,80.7,71.41,14,980,N/A
1998,1,1,2,30,0,0,0,0,0,0,0,7,0.11900000000000001,1.8,75.60000000000001,69.06,14,980,N/A
1998,1,1,3,30,0,0,0,0,0,0,0,6,0.11900000000000001,1.8,72.4,66.42,14,980,N/A
1998,1,1,4,30,0,0,0,0,0,0,0,6,0.11900000000000001,1.7000000000000002,70.7,64.08,13,980,N/A
1998,1,1,5,30,0,0,0,0,0,0,0,5,0.11900000000000001,1.7000000000000002,71.3,66.25,13,980,N/A
1998,1,1,6,30,0,0,0,0,0,0,1,5,0.11900000000000001,1.8,75.5,64.22,13,980,N/A
1998,1,1,7,30,27,328,54,27,328,54,1,5,0.11900000000000001,1.9000000000000001,82.60000000000001,58.03,15,980,N/A
1998,1,1,8,30,57,656,224,57,656,224,0,7,0.11900000000000001,2.3000000000000003,91.60000000000001,53.86,18,980,N/A
1998,1,1,9,30,72,789,382,72,789,382,0,7,0.11900000000000001,2.4000000000000004,111.10000000000001,46.54,20,980,N/A
1998,1,1,10,30,81,850,498,81,850,498,0,8,0.11900000000000001,2.5,145.4,48.21,21,980,N/A
1998,1,1,11,30,86,872,556,86,872,556,0,9,0.11900000000000001,2.6,163.9,51,21,980,N/A
1998,1,1,12,30,87,868,552,87,868,552,0,10,0.11900000000000001,2.8000000000000003,173.5,50.07,22,980,N/A
1998,1,1,13,30,83,836,486,83,836,486,0,10,0.11900000000000001,2.9000000000000004,182.5,55.18,21,980,N/A
1998,1,1,14,30,75,760,364,75,760,364,0,11,0.11900000000000001,2.7,191.60000000000002,61.160000000000004,20,980,N/A
1998,1,1,15,30,59,601,202,59,601,202,1,12,0.11900000000000001,2,196.9,78.2,17,980,N/A
1998,1,1,16,30,23,33,25,23,229,38,3,13,0.11900000000000001,1.3,196.5,94.72,15,980,N/A
1998,1,1,17,30,0,0,0,0,0,0,3,13,0.11900000000000001,1.3,182.10000000000002,100,13,980,N/A
1998,1,1,18,30,0,0,0,0,0,0,1,11,0.11900000000000001,1.4000000000000001,161.20000000000002,100,13,980,N/A
1998,1,1,19,30,0,0,0,0,0,0,3,11,0.11900000000000001,1.5,146.6,100,12,980,N/A
1998,1,1,20,30,0,0,0,0,0,0,0,11,0.11900000000000001,1.6,138.20000000000002,100,12,980,N/A
1998,1,1,21,30,0,0,0,0,0,0,0,11,0.11900000000000001,1.6,133.8,100,12,980,N/A
1998,1,1,22,30,0,0,0,0,0,0,0,11,0.11900000000000001,1.5,133.9,100,12,980,N/A
1998,1,1,23,30,0,0,0,0,0,0,0,11,0.11900000000000001,1.4000000000000001,143.4,100,13,980,N/A
1998,1,2,0,30,0,0,0,0,0,0,0,11,0.11900000000000001,1.4000000000000001,158.10000000000002,100,13,980,N/A
